,Src,Eqid,Datetime,Lat,Lon,Mag,Depth,Nst,Place
19,ci,11381666,1382364225900,33.5197,-118.3125,2.3,2.7,26,"19km N of Avalon, California"
20,ak,10827570,1382363836000,59.9498,-152.999,3,100,41,"61km SSW of Redoubt Volcano, Alaska"
21,us,b000khue,1382363416230,-10.1712,-13.2211,5.1,12.99,,"280km SSE of Georgetown, Saint Helena"
22,ci,11381650,1382363377200,36.0468,-117.479,1.6,2.7,20,"31km NNW of Searles Valley, California"
23,ci,11381642,1382361328100,34.0055,-117.2053,1.3,16.3,24,"5km SSW of Redlands, California"
24,nc,72092111,1382360535200,38.823,-122.8063,1.2,3.3,,"6km NW of The Geysers, California"
25,ak,10827560,1382359931000,63.4107,-151.7796,1.1,7,,"141km W of Cantwell, Alaska"
26,ak,10827559,1382359834000,63.5112,-147.752,1.1,1.6,,"61km ENE of Cantwell, Alaska"
27,ci,11381618,1382359477600,33.4375,-116.6397,1.4,4.4,17,"13km SSE of Anza, California"
28,ci,11381610,1382359275600,36.079,-117.5077,1.5,6.5,14,"35km NNW of Searles Valley, California"
29,ak,10827553,1382359225000,63.2512,-151.2422,1.3,10.4,,"115km W of Cantwell, Alaska"
30,uu,60041987,1382358550200,44.7718,-110.7133,1.7,4.2,,"33km ENE of West Yellowstone, Montana"
31,uw,60614737,1382358031000,46.0118,-123.5953,1.4,22.1,,"24km E of Gearhart, Oregon"
32,uu,60041982,1382357133000,37.9058,-112.484,2.3,9.6,,"10km NNW of Panguitch, Utah"
33,nc,72092096,1382357124700,37.0308,-121.4592,1.2,9.6,,"10km ENE of Gilroy, California"
34,ci,11381602,1382357048000,33.6855,-116.789,1,18.6,29,"8km SW of Idyllwild-Pine Cove, California"
35,uu,60041977,1382355835000,44.7718,-110.7123,1.5,4.6,,"33km ENE of West Yellowstone, Montana"
36,us,b000khu2,1382355797120,10.0827,124.0723,4.6,19.99,,"4km W of Buenavista, Philippines"
37,ci,11381586,1382355763200,34.0555,-118.015,1.6,11.2,48,"1km SE of El Monte, California"
38,uu,60041972,1382355505600,44.7718,-110.7163,1.5,4.5,,"33km ENE of West Yellowstone, Montana"
39,us,b000khtx,1382354973310,18.8785,145.4494,4.5,239,,"26km WNW of Agrihan, Northern Mariana Islands"
40,uu,60041962,1382354532300,38.989,-111.3617,1,1.4,,"22km WSW of Ferron, Utah"
41,nc,72092086,1382354279500,38.8092,-122.792,1,1.2,,"4km NW of The Geysers, California"
42,uu,60041957,1382354195100,44.7722,-110.7088,1.3,4,,"33km ENE of West Yellowstone, Montana"
43,ak,10827534,1382353786000,62.6279,-151.2552,1.1,58.5,,"68km WNW of Talkeetna, Alaska"
44,ak,10827529,1382353355000,62.0957,-151.6931,1.8,98.1,,"86km WSW of Talkeetna, Alaska"
45,ak,10827524,1382353137000,60.6485,-151.6728,1.3,78,,"21km WSW of Nikiski, Alaska"
46,nc,72092081,1382353035600,37.5258,-118.826,1.1,8,,"18km SE of Mammoth Lakes, California"
47,ak,10827523,1382352931000,62.3652,-149.0792,1,46.9,11,"46km ENE of Y, Alaska"
48,ak,10827519,1382352643000,62.7649,-150.871,1.2,31,,"62km NW of Talkeetna, Alaska"
49,ak,10827515,1382352271000,60.8923,-140.1339,1.8,0,19,"143km W of Haines Junction, Canada"
50,nc,72092071,1382351959600,39.3768,-122.9073,1.9,7.4,,"23km N of Upper Lake, California"
51,ak,10827508,1382350310000,63.426,-151.2624,1.4,10.3,10,"115km W of Cantwell, Alaska"
52,nc,72092061,1382350308800,40.5253,-123.5365,1.4,9.6,,"30km W of Hayfork, California"
53,nc,72092056,1382349238900,37.6858,-119.3942,2.2,15.9,,"17km ESE of Yosemite Valley, California"
54,nc,72092051,1382348372700,38.8085,-122.813,1.4,2.3,,"6km NW of The Geysers, California"
55,ci,11381554,1382348338400,33.0328,-116.4277,1.5,9.6,40,"17km ESE of Julian, California"
56,ak,10827501,1382347775000,60.0256,-141.4751,1.4,11.6,,"53km E of Cape Yakataga, Alaska"
57,nc,72092041,1382346820200,37.7848,-121.9052,1.2,12.9,,"3km S of Blackhawk, California"
58,nc,72092036,1382346121900,35.7332,-121.1245,1.4,8.5,,"11km NNE of San Simeon, California"
59,nc,72092026,1382345916200,37.665,-119.3817,1.9,14.3,,"19km ESE of Yosemite Valley, California"
60,nc,72092016,1382345844700,36.539,-121.1308,2,6.8,,"21km NE of Soledad, California"
61,nc,72092001,1382344376400,37.7928,-121.9117,3,12.3,,"3km S of Blackhawk, California"
62,nc,72091996,1382343922100,38.1042,-118.8663,1.7,5,,"36km ESE of Bridgeport, California"
63,nc,72091991,1382343906200,37.6438,-119.4135,1.9,6.4,,"18km SE of Yosemite Valley, California"
64,ak,10827489,1382343589000,62.7584,-150.7476,1.1,89.2,,"58km NW of Talkeetna, Alaska"
65,nc,72091986,1382341587100,37.7867,-121.9155,1.3,10.6,,"3km S of Blackhawk, California"
66,nc,72091981,1382341526300,37.7877,-121.9112,1.9,10.5,,"3km S of Blackhawk, California"
67,ci,11381530,1382340502100,33.51,-116.5538,1,15.7,22,"12km ESE of Anza, California"
68,us,b000khsm,1382339398670,3.695,123.4738,4.7,491.47,,"283km SSW of Maitum, Philippines"
69,ak,10827469,1382339118000,61.7179,-150.4024,3.3,16.3,,"19km W of Willow, Alaska"
70,ci,11381514,1382337480800,36.1223,-117.692,1.6,3.6,19,"47km NNW of Searles Valley, California"
71,nc,72091921,1382336386000,37.0967,-119.4712,2,17.1,,"2km NE of Auberry, California"
72,ci,11381506,1382335772000,33.1473,-116.4688,1.4,9.4,21,"14km SW of Borrego Springs, California"
73,ak,10827457,1382335437000,62.0108,-148.6041,1.6,29.7,,"27km NNE of Sutton-Alpine, Alaska"
74,ci,11381498,1382335261500,34.0183,-116.7373,1.6,15.8,48,"12km NNE of Cabazon, California"
75,pr,13294004,1382334031100,18.4274,-67.4337,2.1,12,4,"21km WNW of Rincon, Puerto Rico"
76,pr,13294003,1382333865000,19.1725,-66.4972,2.5,28,4,"78km N of Tierras Nuevas Poniente, Puerto Rico"
77,ak,10827446,1382333677000,62.9841,-149.6113,1.4,98.1,,"56km SW of Cantwell, Alaska"
78,us,b000khs7,1382333636050,-56.6339,-25.9362,4.9,34.96,,"77km E of Visokoi Island, "
79,ak,10827444,1382333544000,62.9888,-150.6963,1.4,78.5,,"79km NNW of Talkeetna, Alaska"
80,nc,72091871,1382332268800,38.8285,-122.7675,1.9,0.9,,"3km W of Cobb, California"
81,nc,72091856,1382331194900,41.0055,-123.3385,2.3,23,,"25km ENE of Willow Creek, California"
82,pr,13294001,1382329258500,19.0916,-66.5022,2.8,9,12,"69km N of Tierras Nuevas Poniente, Puerto Rico"
83,nc,72091806,1382328938000,37.3668,-118.5833,1.2,11.5,,"11km W of West Bishop, California"
84,pr,13294002,1382328694900,19.062,-65.2403,3.1,90,3,"84km N of Culebra, Puerto Rico"
85,ci,11381466,1382328675900,33.9658,-116.3705,2,8.4,65,"8km NE of Desert Edge, California"
86,us,b000khrn,1382328592900,1.4794,126.2825,4.7,44.24,,"122km E of Bitung, Indonesia"
87,pr,13294000,1382328342400,19.1245,-66.4803,3,11,12,"73km N of Tierras Nuevas Poniente, Puerto Rico"
88,us,b000khrf,1382328117300,-22.8825,-174.8889,5.4,24.35,,"171km S of `Ohonua, Tonga"
89,us,b000khrb,1382326415430,42.2852,142.9612,4.6,62.02,,"49km E of Shizunai, Japan"
90,us,b000khr7,1382324937670,3.2342,90.6762,4.5,14.55,,Off the west coast of northern Sumatra
91,nn,00426861,1382324570831,35.9196,-114.9592,1.16,13.3735,9,"13km S of Henderson, Nevada"
92,nc,72091791,1382324543400,38.7917,-122.757,2.1,1.6,,"1km N of The Geysers, California"
93,ak,10827415,1382324097000,61.6192,-150.9569,1.6,65.9,,"50km WSW of Willow, Alaska"
94,ak,10827410,1382323256000,61.5532,-140.7431,1.8,12.4,,"189km NNE of Cape Yakataga, Alaska"
95,ak,10827403,1382322633000,61.0712,-151.4284,1.6,45.8,,"43km N of Nikiski, Alaska"
96,us,b000khr2,1382322439500,35.3303,76.9771,5.3,96.82,,"50km NNE of Thang, India"
97,ak,10827401,1382322408000,60.2009,-141.7449,1.5,0,,"40km ENE of Cape Yakataga, Alaska"
98,ci,11381434,1382320262900,35.6682,-118.4645,1.2,10.3,17,"4km S of Wofford Heights, California"
99,nc,72091771,1382318592400,38.764,-122.8438,1.1,4.5,,"7km W of The Geysers, California"
100,ak,10827388,1382318306000,60.7614,-147.5354,1.8,24.9,,"62km E of Whittier, Alaska"
101,nc,72091751,1382317279900,39.6887,-122.4735,1.3,25.1,,"24km WSW of Orland, California"
102,ak,10827380,1382316888000,60.3252,-141.803,1.1,16.7,,"45km NE of Cape Yakataga, Alaska"
103,nc,72091736,1382316055900,36.7847,-121.4852,1.2,5.5,,"8km SE of San Juan Bautista, California"
104,ak,10827372,1382314676000,59.738,-153.0518,2.8,82,,"68km W of Anchor Point, Alaska"
105,us,b000khqq,1382314352760,-22.9468,-66.4446,4.3,251.19,,"80km WSW of Abra Pampa, Argentina"
106,ak,10827368,1382313381000,62.895,-148.886,1.4,3,,"55km S of Cantwell, Alaska"
107,ak,10827364,1382312737000,60.7944,-149.6639,1.8,30.9,,"48km SSE of Anchorage, Alaska"
108,uw,60614632,1382312287200,45.8227,-122.4247,1,10.8,,"5km N of Venersborg, Washington"
109,us,b000khqk,1382312056790,9.9116,124.1274,4.9,36.01,,"3km E of Sagbayan, Philippines"
110,ci,11381394,1382311322100,35.0293,-117.6873,1.6,0.2,34,"4km NW of Boron, California"
111,us,b000khql,1382310763130,31.5952,138.4007,4.2,365.77,,"211km SW of Hachijo-jima, Japan"
112,ak,10827353,1382310680000,59.7199,-152.3078,2.5,49.6,,"27km WSW of Anchor Point, Alaska"
113,nc,72091701,1382310605900,38.8272,-122.8177,1.1,1.1,,"7km NW of The Geysers, California"
114,ci,11381386,1382310334700,34.027,-117.2608,1.3,16.9,39,"2km S of Loma Linda, California"
115,us,b000khq7,1382310200380,9.7758,123.9938,5.3,20.02,,"3km NE of Balilihan, Philippines"
116,ak,10827343,1382309049000,61.563,-146.4229,2.4,19.8,,"48km N of Valdez, Alaska"
117,nc,72091686,1382308262500,36.8353,-121.3182,1.1,6.5,,"4km ENE of Ridgemark, California"
118,us,b000khpu,1382307861050,-10.4056,161.3176,4.9,72.16,,"66km W of Kirakira, Solomon Islands"
119,us,b000khpg,1382305892240,-18.6391,-70.0963,4.5,76.61,,"28km SE of Arica, Chile"
120,nc,72091676,1382305508200,37.4732,-118.979,1.5,3.9,,"19km S of Mammoth Lakes, California"
121,hv,60579886,1382305480200,19.395,-155.2865,2.7,6.4,,"6km SW of Volcano, Hawaii"
122,hv,60579891,1382305468000,19.1822,-155.6075,3.7,10,,"13km W of Pahala, Hawaii"
123,ci,11381354,1382305317800,33.6807,-116.6797,1,19.9,20,"7km SSE of Idyllwild, California"
124,ak,10827316,1382303919000,61.746,-152.0249,2.1,100,,"104km W of Willow, Alaska"
125,ci,11381338,1382301360000,35.6697,-118.4677,1.4,9.6,11,"4km SSW of Wofford Heights, California"
126,ak,10827304,1382300797000,62.1046,-152.5981,1.4,51.8,,"131km W of Talkeetna, Alaska"
127,ak,10827299,1382300507000,61.6809,-151.0288,1.8,49.5,,"52km W of Willow, Alaska"
128,ak,10827296,1382300419000,60.0634,-140.5906,2.4,5.1,,"75km NW of Yakutat, Alaska"
129,pr,13293006,1382299508700,19.0573,-66.4974,2.9,46,4,"65km N of Tierras Nuevas Poniente, Puerto Rico"
130,us,b000khnw,1382298305380,35.7836,77.4106,5.4,75.29,,"113km NNE of Thang, India"
131,ak,10827287,1382298138000,63.1862,-149.8679,1,85.9,,"51km WSW of Cantwell, Alaska"
132,us,b000khnn,1382297405200,13.025,144.7346,4.6,51.68,,"27km S of Inarajan Village, Guam"
133,us,b000khnk,1382297058150,-6.3979,147.7712,4.8,77.82,,"25km NNW of Finschhafen, Papua New Guinea"
134,us,b000khnc,1382294888080,-6.4779,155.0119,5.1,71.57,,"55km WSW of Panguna, Papua New Guinea"
135,ak,10827267,1382294667000,59.2058,-153.2031,3.3,2,,"100km SW of Anchor Point, Alaska"
136,ci,11381330,1382294569600,33.6512,-116.744,1,16,18,"10km S of Idyllwild-Pine Cove, California"
137,pr,13293004,1382293978400,17.8349,-66.9568,2.6,4,16,"15km SSW of Guanica, Puerto Rico"
138,ci,11381322,1382293767000,32.5243,-115.6707,1.5,7.7,13,"10km SW of Progreso, Mexico"
139,ak,10827257,1382293254000,62.7476,-150.5674,1.5,100,,"52km NNW of Talkeetna, Alaska"
140,pr,13293002,1382291410300,18.0065,-68.5006,3.4,76,13,"42km SSE of Boca de Yuma, Dominican Republic"
141,hv,60579796,1382290527000,19.4343,-155.2637,2.4,1.6,,"2km W of Volcano, Hawaii"
142,ci,11381314,1382289471000,33.039,-116.3943,1.1,10.1,21,"19km ESE of Julian, California"
143,ci,11381306,1382289238700,33.6833,-116.79,1.5,18.2,47,"9km SW of Idyllwild-Pine Cove, California"
144,ci,11381298,1382289200100,32.594,-115.7353,1.7,9.2,10,"14km W of Progreso, Mexico"
145,ci,11381290,1382288909500,33.5808,-116.7352,1.2,13.8,16,"6km WNW of Anza, California"
146,ci,11381282,1382288769200,33.6783,-116.7925,2.4,18.3,90,"9km SW of Idyllwild-Pine Cove, California"
147,nc,72091606,1382288603800,38.8233,-122.8013,1.8,3.9,,"6km W of Cobb, California"
148,ak,10827230,1382288519000,61.6821,-151.0179,2.3,77.1,,"52km W of Willow, Alaska"
149,ci,11381274,1382288155800,36.0803,-117.8413,1.9,1.9,27,"48km N of Inyokern, California"
150,nc,72091576,1382287081200,36.699,-120.3083,1.9,20.3,,"8km SE of Mendota, California"
151,ak,10827224,1382287034000,63.4566,-147.8358,1,14.5,,"56km E of Cantwell, Alaska"
152,ak,10827211,1382285837000,61.2258,-146.9223,2.7,3.6,,"32km WNW of Valdez, Alaska"
153,uw,60614442,1382284953400,46.3623,-122.2215,1.1,6.7,,"22km S of Morton, Washington"
154,ci,11381258,1382283766100,34.2728,-118.596,1.4,10.7,16,"9km NNE of West Hills, California"
155,nc,72091506,1382282386500,38.7745,-122.7375,1.2,4.2,,"1km E of The Geysers, California"
156,pr,13293005,1382281069400,18.7138,-66.7154,2.4,27,6,"26km N of Arecibo, Puerto Rico"
157,ci,11381218,1382278771300,34.1797,-117.5533,1.4,4.5,43,"8km NNE of Rancho Cucamonga, California"
158,ak,10827190,1382277831000,62.9918,-149.0119,1,58.4,,"44km S of Cantwell, Alaska"
159,ci,11381210,1382277003000,33.3837,-116.407,1.4,13.3,44,"14km NNW of Borrego Springs, California"
160,ci,11381202,1382276862300,36.1533,-118.0745,1.6,5.5,13,"50km S of Lone Pine, California"
161,ci,11381194,1382276528700,33.4947,-116.4423,1.1,9.4,37,"22km SSW of La Quinta, California"
162,ci,11381186,1382276461400,36.067,-117.6497,1.4,0.1,19,"39km NNW of Searles Valley, California"
163,nc,72091476,1382276045700,38.8247,-122.7633,1,2.5,,"3km W of Cobb, California"
164,pr,13293003,1382275532900,18.5373,-67.0525,2.1,81,11,"5km NW of Isabela, Puerto Rico"
165,ci,11381178,1382275088000,34.0995,-117.0022,1.2,8.3,13,"8km NNE of Yucaipa, California"
166,us,b000khl3,1382275077260,16.6517,-98.0111,4.2,34.83,,"9km E of San Pedro Amuzgos, Mexico"
167,us,b000khl5,1382274998680,-56.4946,-25.6342,5.3,10,,"98km ENE of Visokoi Island, "
168,ci,11381170,1382274009000,32.3857,-115.1632,3.7,17.7,19,"4km NNE of Guadalupe Victoria, Mexico"
169,us,b000khl6,1382273645740,32.856,35.57,3.5,2,,"7km NNE of Tiberias, Israel"
170,ci,11381162,1382272955400,36.1165,-117.6935,1.3,1.7,15,"46km NW of Searles Valley, California"
171,ak,10827170,1382271762000,63.2562,-151.1334,1.1,20.7,,"110km W of Cantwell, Alaska"
172,nn,00426817,1382271456952,39.3999,-119.5535,2.14,6.663,30,"13km NE of Virginia City, Nevada"
173,us,b000khkx,1382271420420,2.3441,-99.8039,4.4,10.37,,West of the Galapagos Islands
174,pr,13293001,1382271289800,19.1394,-66.4996,2.6,8,7,"75km N of Tierras Nuevas Poniente, Puerto Rico"
175,us,b000khkt,1382271012430,2.2775,-99.8513,5,10.21,,West of the Galapagos Islands
176,us,b000khkv,1382270748400,52.6208,173.1862,4.6,41.94,,"25km S of Attu Station, Alaska"
177,ak,10827164,1382270598000,59.9763,-153.0601,2.2,110.2,,"59km SSW of Redoubt Volcano, Alaska"
178,ak,10827161,1382268663000,59.9613,-141.0972,1.5,0.1,,"75km E of Cape Yakataga, Alaska"
179,nn,00426815,1382268405362,38.294,-119.2042,1.01,7.3673,8,"4km NNE of Bridgeport, California"
180,nc,72091376,1382267910700,38.8105,-122.7948,1.4,3.4,,"4km NW of The Geysers, California"
181,us,b000khkc,1382267886810,2.1201,-99.9862,4.6,10.46,,West of the Galapagos Islands
182,us,b000khk9,1382267699510,2.2458,-99.9615,4.4,10.07,,West of the Galapagos Islands
183,ci,11381130,1382266389500,32.1557,-115.2227,2.6,20.5,11,"9km SSW of Alberto Oviedo Mota, Mexico"
184,us,b000khk2,1382265636450,45.4384,-77.2982,3.1,5.42,,"44km SSW of Pembroke, Canada"
185,ci,11381122,1382264411800,36.0952,-119.2565,2.2,24.9,15,"5km W of Woodville, California"
186,nc,72091366,1382264206700,38.8013,-122.771,1.8,1.5,,"2km NNW of The Geysers, California"
187,us,b000khju,1382263880080,-5.6379,151.6794,4.6,94.88,,"156km SSW of Kokopo, Papua New Guinea"
188,nc,72091351,1382263003800,36.7145,-119.8373,2,16.6,,"1km ENE of West Park, California"
189,nn,00426811,1382262883629,39.4005,-119.5533,2.26,7.2151,30,"13km NE of Virginia City, Nevada"
190,us,b000khjk,1382260668890,36.5634,-97.8411,3.1,4.95,,"18km N of Enid, Oklahoma"
191,ci,11381114,1382259444400,33.8872,-116.229,1.1,5.7,22,"11km E of Sky Valley, California"
192,ci,11381106,1382259427000,33.9057,-116.2127,1.2,0.6,15,"13km E of Sky Valley, California"
193,pr,13293000,1382257154700,17.7964,-67.0404,2.6,28,12,"19km S of La Parguera, Puerto Rico"
194,ak,10827135,1382257048000,64.3375,-148.9085,2,36.4,,"28km SSE of North Nenana, Alaska"
195,hv,60579736,1382256603200,19.4247,-155.6088,1.8,1.2,,"27km E of Honaunau-Napoopoo, Hawaii"
196,nc,72091296,1382256504200,38.8052,-122.79,1.3,1.2,,"4km NW of The Geysers, California"
197,us,b000khj3,1382256342110,9.8016,123.7235,5.2,20.17,,"7km W of Loon, Philippines"
198,nc,72091271,1382256309500,39.528,-122.1327,2.4,27.3,,"5km E of Willows, California"
199,nn,00426809,1382256214300,39.4011,-119.5605,1.56,7.1385,27,"12km NE of Virginia City, Nevada"
200,hv,60579726,1382254854800,19.4185,-155.6192,2.7,2.1,,"26km E of Honaunau-Napoopoo, Hawaii"
201,ak,10827121,1382253555000,62.4338,-149.7431,1.5,61.4,,"22km ENE of Talkeetna, Alaska"
202,ci,11381090,1382253367300,33.8817,-116.231,1.1,7.3,14,"11km E of Sky Valley, California"
203,nc,72091241,1382251858300,36.775,-120.1225,2.5,29.7,,"7km NW of Kerman, California"
204,ci,11381082,1382251178600,33.6528,-116.7013,1.2,18.9,13,"9km S of Idyllwild, California"
205,us,b000khit,1382250239480,9.8184,124.0567,4.7,19.73,,"7km ESE of Catigbian, Philippines"
206,ci,11381058,1382249667200,33.4852,-116.5768,1.3,9,39,"11km SE of Anza, California"
207,nc,72091196,1382248959000,38.7603,-122.8472,1.3,4.2,,"8km WSW of The Geysers, California"
208,nc,72091191,1382248829400,36.3077,-120.8717,2,4.7,,"25km ENE of King City, California"
209,nc,72091176,1382248436200,38.8088,-122.8117,1.4,1.9,,"5km NW of The Geysers, California"
210,nc,72091171,1382248414700,38.7645,-122.847,1.2,4.5,,"8km W of The Geysers, California"
211,nc,72091166,1382248237900,38.7665,-122.8458,1,4.4,,"7km W of The Geysers, California"
212,nc,72091156,1382248226500,38.7622,-122.8452,1.5,4.3,,"7km WSW of The Geysers, California"
213,us,b000khii,1382247498590,19.4923,-92.1161,4.2,13.93,,"99km NNW of Ciudad del Carmen, Mexico"
214,us,b000khih,1382246820220,27.1471,65.7523,4.4,10.23,,"92km NE of Awaran, Pakistan"
215,hv,60579686,1382246741600,19.9262,-156.1603,3,10.3,,"28km NW of Kalaoa, Hawaii"
216,ak,10827097,1382246202000,61.5695,-151.842,2.2,97,,"97km W of Willow, Alaska"
217,us,b000khic,1382245881110,27.2444,65.4902,4.3,10.15,,"91km NNE of Awaran, Pakistan"
218,ak,10827094,1382245587000,64.5041,-146.984,1.3,2.3,,"4km WSW of Salcha, Alaska"
219,ci,11381042,1382245038200,33.325,-116.3882,1.2,5.5,17,"7km N of Borrego Springs, California"
220,ak,10827086,1382242875000,62.2956,-148.7335,1.3,37.8,,"55km N of Sutton-Alpine, Alaska"
221,ci,11381034,1382242536000,33.7257,-116.7508,1,18.8,22,"3km SW of Idyllwild-Pine Cove, California"
222,us,b000khhb,1382241715710,-23.7335,179.0595,4.7,533.72,,South of the Fiji Islands
223,ci,11381026,1382241229400,33.5795,-116.7203,1.1,15,32,"5km WNW of Anza, California"
224,ak,10827082,1382240870000,60.0712,-152.9583,1.8,101.9,,"47km SSW of Redoubt Volcano, Alaska"
225,ci,11381018,1382240202800,34.0455,-116.7682,1,13,24,"14km N of Cabazon, California"
226,ak,10827076,1382235985000,62.3643,-151.2915,1.3,51.1,,"61km W of Talkeetna, Alaska"
227,nc,72091096,1382235823800,38.7888,-122.729,1.1,2.7,,"2km ENE of The Geysers, California"
228,nc,72091091,1382235816000,38.791,-122.7298,1.8,2.4,,"2km ENE of The Geysers, California"
229,nc,72091066,1382233848400,37.6518,-119.411,1.4,7.2,,"17km SE of Yosemite Valley, California"
230,us,b000khgz,1382233535470,9.8646,124.0282,4.9,20.22,,"3km ENE of Catigbian, Philippines"
231,ci,11381002,1382231599300,33.496,-116.4465,1.4,6.5,36,"22km SW of La Quinta, California"
232,uw,60614272,1382231424000,46.5958,-121.6225,1.5,3,,"3km ESE of Packwood, Washington"
233,nc,72091026,1382229318700,38.7872,-122.7275,1.6,2.3,,"2km ENE of The Geysers, California"
234,us,b000khgc,1382228982880,-1.8545,100.392,4.6,65.5,,"59km SSW of Painan, Indonesia"
235,ak,10827051,1382228891000,63.5579,-150.7939,1.7,0,,"93km WNW of Cantwell, Alaska"
236,ak,10827043,1382228587000,63.3268,-149.4243,3.5,93.2,,"24km WSW of Cantwell, Alaska"
237,nn,00426788,1382227885992,38.2997,-119.4761,1.27,12,5,"21km WNW of Bridgeport, California"
238,ak,10827035,1382227113000,63.5517,-150.7706,2.5,5,,"92km WNW of Cantwell, Alaska"
239,us,b000khfy,1382225552780,26.3305,-110.303,4.1,10.05,,"79km SW of Etchoropo, Mexico"
240,ak,10827027,1382224764000,62.4876,-151.5861,2,91.2,,"78km WNW of Talkeetna, Alaska"
241,ci,11380970,1382223622400,34.2318,-117.5148,1.1,8.6,18,"15km NNE of Rancho Cucamonga, California"
242,us,b000khfp,1382222997200,-6.591,154.8243,5.2,48.73,,"79km WSW of Panguna, Papua New Guinea"
243,us,b000khf8,1382220868060,25.0957,-110.7486,4.6,10,,"92km E of Ciudad Constitucion, Mexico"
244,ci,11380962,1382220830100,35.0973,-117.1453,1.4,7.8,27,"24km NNW of Barstow, California"
245,ci,11380954,1382219720300,35.0978,-117.1468,1.8,7.5,34,"24km NNW of Barstow, California"
246,us,b000khf4,1382219014350,10.0048,124.3151,4.9,58.49,,"3km SW of Hinlayagan Ilaud, Philippines"
247,ak,10827016,1382218708000,62.807,-149.8005,1.8,49.3,,"56km NNE of Talkeetna, Alaska"
248,ak,10827009,1382218547000,61.5215,-146.5167,2.3,29.1,,"44km NNW of Valdez, Alaska"
249,pr,13292006,1382218332100,18.1506,-68.1155,3.2,102,13,"56km SSE of Punta Cana, Dominican Republic"
250,nc,72090991,1382218263800,36.6077,-121.0975,1.6,5.7,,"28km NE of Soledad, California"
251,us,b000khf0,1382218182240,9.9959,124.1788,4.9,53.26,,"7km NW of Danao, Philippines"
252,uw,60614122,1382217203800,49.3525,-120.5665,2.3,0,,"12km SSW of Princeton, Canada"
253,us,b000khf3,1382217113240,9.5626,123.7041,4.7,63.74,,"3km SW of Duljo, Philippines"
254,ci,11380938,1382216779100,35.9468,-117.6545,1.1,2.6,9,"30km NW of Searles Valley, California"
255,ak,10827000,1382216673000,62.4046,-148.3567,1.9,26.7,,"72km NNE of Sutton-Alpine, Alaska"
256,nc,72090976,1382215743000,40.7387,-124.883,2.6,0.3,,"55km WNW of Ferndale, California"
257,pr,13292005,1382215663100,19.1298,-66.5101,2.6,11,4,"73km N of Tierras Nuevas Poniente, Puerto Rico"
258,us,b000khea,1382215242790,10.0934,124.2114,4.9,20.1,,"8km SW of Bagacay, Philippines"
259,ci,11380922,1382215196400,34.4393,-119.0537,1.5,1.3,13,"9km N of Santa Paula, California"
260,nc,72090951,1382213839700,39.4002,-123.2715,3.4,4.7,,"7km E of Willits, California"
261,ak,10826987,1382213598000,59.9481,-154.2465,2.5,100,,"43km ENE of Old Iliamna, Alaska"
262,nc,72090946,1382213324200,38.8232,-122.8063,1.8,1,,"6km NW of The Geysers, California"
263,ci,11380906,1382213164200,32.8742,-116.2447,1.6,4.4,24,"27km ENE of Pine Valley, California"
264,us,b000khdp,1382212602890,37.7383,142.4885,4.3,44.28,,"128km SE of Ishinomaki, Japan"
265,nc,72090926,1382210496000,38.8082,-122.8147,1.1,2.6,,"6km NW of The Geysers, California"
